月份,消费者信心指数_指数值,消费者信心指数_同比增长,消费者信心指数_环比增长,消费者满意指数_指数值,消费者满意指数_同比增长,消费者满意指数_环比增长,消费者预期指数_指数值,消费者预期指数_同比增长,消费者预期指数_环比增长,,,,,,,,,
2009年02月份,100.97,-8.20%,-0.28%,102.61,-4.64%,-0.35%,99.88,-10.42%,-0.23%,,,,,,,,,
2009年01月份,101.25,-9.27%,-0.54%,102.97,-5.01%,-0.23%,100.11,-11.88%,-0.78%,,,,,,,,,
2008年12月份,101.8,-9.99%,-3.23%,103.2,-6.78%,-2.73%,100.9,-11.95%,-3.54%,,,,,,,,,
2008年11月份,105.2,-6.07%,-2.50%,106.1,-3.02%,-0.66%,104.6,-8.00%,-3.59%,,,,,,,,,
2008年10月份,107.9,-4.17%,-0.92%,106.8,-2.82%,-0.19%,108.5,-5.07%,-1.45%,,,,,,,,,
2008年09月份,108.9,-3.71%,-0.37%,107,-3.17%,-0.19%,110.1,-4.01%,-0.45%,,,,,,,,,
2008年08月份,109.3,-3.70%,-0.82%,107.2,-3.34%,-0.74%,110.6,-3.91%,-0.90%,,,,,,,,,
2008年07月份,110.2,-2.39%,0.36%,108,-2.35%,0.28%,111.6,-2.36%,0.36%,,,,,,,,,
2008年06月份,109.8,-3.43%,-0.18%,107.7,-3.23%,0.47%,111.2,-3.47%,-0.45%,,,,,,,,,
2008年05月份,110,-2.48%,0.27%,107.2,-3.07%,0.09%,111.7,-2.19%,0.36%,,,,,,,,,
2008年04月份,109.7,-2.32%,-0.54%,107.1,-2.55%,-0.65%,111.3,-2.20%,-0.54%,,,,,,,,,
2008年03月份,110.3,-0.63%,0.27%,107.8,-1.28%,0.19%,111.9,-0.27%,0.36%,,,,,,,,,
2008年02月份,110,-1.61%,-1.43%,107.6,-1.28%,-0.74%,111.5,-1.85%,-1.85%,,,,,,,,,
2008年01月份,111.6,-0.71%,-1.33%,108.4,-1.00%,-2.08%,113.6,-0.53%,-0.87%,,,,,,,,,
2007年12月份,113.1,0.00%,0.98%,110.7,0.36%,1.19%,114.6,-0.26%,0.79%,,,,,,,,,
2007年11月份,112,0.00%,-0.53%,109.4,0.00%,-0.45%,113.7,0.00%,-0.52%,,,,,,,,,
2007年10月份,112.6,0.90%,-0.44%,109.9,0.92%,-0.54%,114.3,0.97%,-0.35%,,,,,,,,,
2007年09月份,113.1,1.25%,-0.35%,110.5,1.66%,-0.36%,114.7,0.97%,-0.35%,,,,,,,,,
2007年08月份,113.5,2.99%,0.53%,110.9,3.07%,0.27%,115.1,2.86%,0.70%,,,,,,,,,
2007年07月份,112.9,2.92%,-0.70%,110.6,3.27%,-0.63%,114.3,2.70%,-0.78%,,,,,,,,,
2007年06月份,113.7,3.55%,0.80%,111.3,4.02%,0.63%,115.2,3.32%,0.88%,,,,,,,,,
2007年05月份,112.8,3.11%,0.45%,110.6,3.27%,0.64%,114.2,2.98%,0.35%,,,,,,,,,
2007年04月份,112.3,2.65%,1.17%,109.9,2.81%,0.64%,113.8,2.43%,1.43%,,,,,,,,,
2007年03月份,111,1.00%,-0.72%,109.2,1.58%,0.18%,112.2,0.72%,-1.23%,,,,,,,,,
2007年02月份,111.8,2.38%,-0.53%,109,0.93%,-0.46%,113.6,2.81%,-0.53%,,,,,,,,,
2007年02月份,112.4,1.90%,-0.62%,109.5,-0.54%,-0.73%,114.2,3.44%,-0.61%,,,,,,,,,
2007年01月份,,,,,,,,,,,,,,,,,,
